Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Trunk 'n' Treat,https://www.eventbrite.com/e/trunk-n-treat-tickets-718868634437?aff=ebdssbdestsearch,,N/A,"New Spirit Lutheran Church 8701 East Old Spanish Trail Tucson, AZ 85710",New Spirit Lutheran Church,N/A,N/A,N/A,N/A
Angels Too Marketplace,https://www.eventbrite.com/e/angels-too-marketplace-tickets-722270198607?aff=ebdssbdestsearch,,Saturday • 9:00 AM,"La Paloma Academy 8140 E. Golf Links Rd. Tucson, AZ 85730",Courtney Watson,N/A,N/A,N/A,N/A
Angels Too Marketplace,https://www.eventbrite.com/e/angels-too-marketplace-tickets-722270198607?aff=ebdssbdestsearch,,N/A,"La Paloma Academy 8140 E. Golf Links Rd. Tucson, AZ 85730",Courtney Watson,N/A,N/A,N/A,N/A
El Gallo Destilería Presenta: Los Tucanes de Tijuana! Octubre 28,https://www.eventbrite.com.mx/e/el-gallo-destileria-presenta-los-tucanes-de-tijuana-octubre-28-tickets-674930444127?aff=ebdssbdestsearch,,"Sat, Oct 28 •  7:00 PM ","El Gallo Destilería 31.284889254838262, -109.51661887443835 Agua Prieta, SON 84200 Mexico",El Gallo Destileria,N/A,N/A,N/A,N/A
El Gallo Destilería Presenta: Los Tucanes de Tijuana! Octubre 28,https://www.eventbrite.com.mx/e/el-gallo-destileria-presenta-los-tucanes-de-tijuana-octubre-28-tickets-674930444127?aff=ebdssbdestsearch,,N/A,"El Gallo Destilería 31.284889254838262, -109.51661887443835 Agua Prieta, SON 84200 Mexico",El Gallo Destileria,N/A,N/A,N/A,N/A
El Gallo Destilería Presenta: Los Plebes del Rancho de Ariel Camacho!,https://www.eventbrite.com.mx/e/el-gallo-destileria-presenta-los-plebes-del-rancho-de-ariel-camacho-tickets-678351998087?aff=ebdssbdestsearch,,"Fri, Oct 27 •  7:00 PM ","El Gallo Destilería 31.284889254838262, -109.51661887443835 Agua Prieta, SON 84200 Mexico",El Gallo Destileria,N/A,N/A,N/A,N/A
El Gallo Destilería Presenta: Los Plebes del Rancho de Ariel Camacho!,https://www.eventbrite.com.mx/e/el-gallo-destileria-presenta-los-plebes-del-rancho-de-ariel-camacho-tickets-678351998087?aff=ebdssbdestsearch,,N/A,"El Gallo Destilería 31.284889254838262, -109.51661887443835 Agua Prieta, SON 84200 Mexico",El Gallo Destileria,N/A,N/A,N/A,N/A
23rd  Annual Tucson Women's Day Out Expo,https://www.eventbrite.com/e/23rd-annual-tucson-womens-day-out-expo-tickets-460336357437?aff=ebdssbdestsearch,,"Sat, Oct 21 •  10:00 AM ","Doubletree Hotel at Reid Park 445 South Alvernon Way Tucson, AZ 85711","SEI, Inc.",N/A,https://www.facebook.com/womensdayoutexpo,https://www.twitter.com/womensexpousa,N/A
23rd  Annual Tucson Women's Day Out Expo,https://www.eventbrite.com/e/23rd-annual-tucson-womens-day-out-expo-tickets-460336357437?aff=ebdssbdestsearch,,N/A,"Doubletree Hotel at Reid Park 445 South Alvernon Way Tucson, AZ 85711","SEI, Inc.",N/A,https://www.facebook.com/womensdayoutexpo,https://www.twitter.com/womensexpousa,N/A
"Art & Crafts Fesitval,  7025 E Tanque Verde & Sabino Canyon, Big Lots",https://www.eventbrite.com/e/art-crafts-fesitval-7025-e-tanque-verde-sabino-canyon-big-lots-tickets-649790339397?aff=ebdssbdestsearch,,"Fri, Nov 17 •  10:00 AM ","7025 E Tanque Verde Rd 7025 East Tanque Verde Road Tucson, AZ 85715",Art Attack  Art and Crafts Promotions,http://www.azartattack.com,N/A,N/A,N/A
