Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
"Reel Sisters Awards Ceremony @Riverside Theater - Oct. 11, 2023",https://www.eventbrite.com/e/reel-sisters-awards-ceremony-riverside-theater-oct-11-2023-tickets-694161885887?aff=ebdssbdestsearch,,Today • 6:30 PM,"The Riverside Theatre 91 Claremont Avenue New York, NY 10027",African Voices Magazine,N/A,https://www.facebook.com/reelsistersfilmfestival,https://www.twitter.com/africanvoices,N/A
"Reel Sisters Awards Ceremony @Riverside Theater - Oct. 11, 2023",https://www.eventbrite.com/e/reel-sisters-awards-ceremony-riverside-theater-oct-11-2023-tickets-694161885887?aff=ebdssbdestsearch,,N/A,"The Riverside Theatre 91 Claremont Avenue New York, NY 10027",African Voices Magazine,N/A,https://www.facebook.com/reelsistersfilmfestival,https://www.twitter.com/africanvoices,N/A
Monster Puppet Workshop with Monkey Boys Productions,https://www.eventbrite.com/e/monster-puppet-workshop-with-monkey-boys-productions-tickets-725282949827?aff=ebdssbdestsearch,,"Sat, Oct 28 •  1:00 PM ","Pier 57 25 11th Avenue New York, NY 10011",Children's Museum of the Arts,http://www.cmany.org,https://www.facebook.com/childrensmuseumofthearts,https://www.twitter.com/cmainnyc,N/A
Monster Puppet Workshop with Monkey Boys Productions,https://www.eventbrite.com/e/monster-puppet-workshop-with-monkey-boys-productions-tickets-725282949827?aff=ebdssbdestsearch,,N/A,"Pier 57 25 11th Avenue New York, NY 10011",Children's Museum of the Arts,http://www.cmany.org,https://www.facebook.com/childrensmuseumofthearts,https://www.twitter.com/cmainnyc,N/A
Children's Museum of the Arts' Halloween Pier Party!,https://www.eventbrite.com/e/childrens-museum-of-the-arts-halloween-pier-party-tickets-724217141967?aff=ebdssbdestsearch,,"Sun, Oct 29 •  11:00 AM ","Pier 57 25 11th Avenue New York, NY 10011",Children's Museum of the Arts,http://www.cmany.org,https://www.facebook.com/childrensmuseumofthearts,https://www.twitter.com/cmainnyc,N/A
Children's Museum of the Arts' Halloween Pier Party!,https://www.eventbrite.com/e/childrens-museum-of-the-arts-halloween-pier-party-tickets-724217141967?aff=ebdssbdestsearch,,N/A,"Pier 57 25 11th Avenue New York, NY 10011",Children's Museum of the Arts,http://www.cmany.org,https://www.facebook.com/childrensmuseumofthearts,https://www.twitter.com/cmainnyc,N/A
Experimental Feature: Little Boxes,https://www.eventbrite.com/e/experimental-feature-little-boxes-tickets-720929628927?aff=ebdssbdestsearch,,"Thu, Oct 26 •  6:15 PM ","Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,N/A,N/A
Experimental Feature: Little Boxes,https://www.eventbrite.com/e/experimental-feature-little-boxes-tickets-720929628927?aff=ebdssbdestsearch,,N/A,"Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,N/A,N/A
Community Day: Fall Festival,https://www.eventbrite.com/e/community-day-fall-festival-tickets-690863620687?aff=ebdssbdestsearch,,"Sat, Oct 21 •  12:00 PM ","The Newark Museum of Art 49 Washington St Newark, NJ 07102",The Newark Museum of Art,http://www.newarkmuseumart.org,https://www.facebook.com/NewarkMuseumArt,https://www.twitter.com/NewarkMuseumArt,N/A
Community Day: Fall Festival,https://www.eventbrite.com/e/community-day-fall-festival-tickets-690863620687?aff=ebdssbdestsearch,,N/A,"The Newark Museum of Art 49 Washington St Newark, NJ 07102",The Newark Museum of Art,http://www.newarkmuseumart.org,https://www.facebook.com/NewarkMuseumArt,https://www.twitter.com/NewarkMuseumArt,N/A
Bad Like Brooklyn Dance Hall,https://www.eventbrite.com/e/bad-like-brooklyn-dance-hall-tickets-720948615717?aff=ebdssbdestsearch,,"Fri, Oct 27 •  8:30 PM ","Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,N/A,N/A
Bad Like Brooklyn Dance Hall,https://www.eventbrite.com/e/bad-like-brooklyn-dance-hall-tickets-720948615717?aff=ebdssbdestsearch,,N/A,"Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,N/A,N/A
Sahashra Deepotsavam,https://www.eventbrite.com/e/sahashra-deepotsavam-tickets-719548046577?aff=ebdssbdestsearch,,"Fri, Oct 20 •  6:30 PM ","Bhakti Center 25 1st Avenue New York, NY 10003",The Temple at Bhakti Center,http://bhakticenter.org,N/A,N/A,N/A
Sahashra Deepotsavam,https://www.eventbrite.com/e/sahashra-deepotsavam-tickets-719548046577?aff=ebdssbdestsearch,,N/A,"Bhakti Center 25 1st Avenue New York, NY 10003",The Temple at Bhakti Center,http://bhakticenter.org,N/A,N/A,N/A
Cardtopia 2023 NYC,https://www.eventbrite.com/e/cardtopia-2023-nyc-tickets-643198623397?aff=ebdssbdestsearch,,N/A,"Moonlight Studios NYC 330 Hudson Street New York, NY 10013",Cardtopia World,https://www.cardtopiaworld.com/,https://www.facebook.com/Cardtopiaworld,https://www.twitter.com/cardtopiaworld,N/A
Cardtopia 2023 NYC,https://www.eventbrite.com/e/cardtopia-2023-nyc-tickets-643198623397?aff=ebdssbdestsearch,,N/A,"Moonlight Studios NYC 330 Hudson Street New York, NY 10013",Cardtopia World,https://www.cardtopiaworld.com/,https://www.facebook.com/Cardtopiaworld,https://www.twitter.com/cardtopiaworld,N/A
Perú Fusion | Grand Tasting 2023,https://www.eventbrite.com/e/peru-fusion-grand-tasting-2023-tickets-709513663467?aff=ebdssbdestsearch,,"Sun, Oct 22 •  1:00 PM ","18 Label Studios 18 Label Street Montclair, NJ 07042",Perú Fusion,N/A,https://www.facebook.com/PeruFusionOfficial,N/A,N/A
Perú Fusion | Grand Tasting 2023,https://www.eventbrite.com/e/peru-fusion-grand-tasting-2023-tickets-709513663467?aff=ebdssbdestsearch,,N/A,"18 Label Studios 18 Label Street Montclair, NJ 07042",Perú Fusion,N/A,https://www.facebook.com/PeruFusionOfficial,N/A,N/A
DAYBREAKER NYC // 10-YEAR TOGETHER TOUR OCT 28TH,https://www.eventbrite.com/e/daybreaker-nyc-10-year-together-tour-oct-28th-tickets-705535996157?aff=ebdssbdestsearch,,"Sat, Oct 28 •  5:00 PM ","Green-Wood Cemetery 500 25th St Brooklyn New York, NY 11232",DAYBREAKER,N/A,N/A,N/A,N/A
DAYBREAKER NYC // 10-YEAR TOGETHER TOUR OCT 28TH,https://www.eventbrite.com/e/daybreaker-nyc-10-year-together-tour-oct-28th-tickets-705535996157?aff=ebdssbdestsearch,,N/A,"Green-Wood Cemetery 500 25th St Brooklyn New York, NY 11232",DAYBREAKER,N/A,N/A,N/A,N/A
Freestyle Mondays NYC 22nd Anniversary,https://www.eventbrite.com/e/freestyle-mondays-nyc-22nd-anniversary-tickets-726203764007?aff=ebdssbdestsearch,,"Sun, Oct 22 •  2:00 PM ","Culture Lab LIC, 46th Avenue, Queens, NY, USA 5-25 46th Avenue Queens, NY 11101",Corey James Gray,N/A,https://www.facebook.com/Freestylemondays,https://www.twitter.com/fstylemondaysny,N/A
Freestyle Mondays NYC 22nd Anniversary,https://www.eventbrite.com/e/freestyle-mondays-nyc-22nd-anniversary-tickets-726203764007?aff=ebdssbdestsearch,,N/A,"Culture Lab LIC, 46th Avenue, Queens, NY, USA 5-25 46th Avenue Queens, NY 11101",Corey James Gray,N/A,https://www.facebook.com/Freestylemondays,https://www.twitter.com/fstylemondaysny,N/A
Project Caribbean Festival 2023,https://www.eventbrite.com/e/project-caribbean-festival-2023-registration-661654645857?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:00 PM ","Snug Harbor Cultural Center & Botanical Garden -- SOUTH MEADOW 1000 Richmond Terrace Staten Island, NY 10301",Project Caribbean Inc.,https://projectcaribbeaninc.org,N/A,N/A,N/A
Project Caribbean Festival 2023,https://www.eventbrite.com/e/project-caribbean-festival-2023-registration-661654645857?aff=ebdssbdestsearch,,N/A,"Snug Harbor Cultural Center & Botanical Garden -- SOUTH MEADOW 1000 Richmond Terrace Staten Island, NY 10301",Project Caribbean Inc.,https://projectcaribbeaninc.org,N/A,N/A,N/A
JCAST 2023 - LGBTQ+ Art Bus Tour,https://www.eventbrite.com/e/jcast-2023-lgbtq-art-bus-tour-tickets-733999240487?aff=ebdssbdestsearch,,Saturday • 1:00 PM,"Jersey City City Hall 280 Grove Street Jersey City, NJ 07302",Art Fair 14C,http://www.artfair14c.com,https://www.facebook.com/artfair14c,https://www.twitter.com/artfair14c,N/A
JCAST 2023 - LGBTQ+ Art Bus Tour,https://www.eventbrite.com/e/jcast-2023-lgbtq-art-bus-tour-tickets-733999240487?aff=ebdssbdestsearch,,N/A,"Jersey City City Hall 280 Grove Street Jersey City, NJ 07302",Art Fair 14C,http://www.artfair14c.com,https://www.facebook.com/artfair14c,https://www.twitter.com/artfair14c,N/A
New York's 50th Annual Village Halloween Parade,https://www.eventbrite.com/e/new-yorks-50th-annual-village-halloween-parade-tickets-495950279637?aff=ebdssbdestsearch,,"Tue, Oct 31 •  7:00 PM ","6th Avenue between Canal Street and 16th Street 6th Avenue between Canal and 16th St. New York City, NY 10014",New York City Halloween Parade,N/A,https://www.facebook.com/events/612737329475686,https://www.twitter.com/NYCHalloween,N/A
New York's 50th Annual Village Halloween Parade,https://www.eventbrite.com/e/new-yorks-50th-annual-village-halloween-parade-tickets-495950279637?aff=ebdssbdestsearch,,N/A,"6th Avenue between Canal Street and 16th Street 6th Avenue between Canal and 16th St. New York City, NY 10014",New York City Halloween Parade,N/A,https://www.facebook.com/events/612737329475686,https://www.twitter.com/NYCHalloween,N/A
Alliance Resource Fair & Family Fun Day- Fall 2023,https://www.eventbrite.com/e/alliance-resource-fair-family-fun-day-fall-2023-tickets-675430991277?aff=ebdssbdestsearch,,Sunday • 11:00 AM,"William Paterson University Student Center 300 Pompton Rd. Wayne, NJ 07470",Alliance of Private Special Education Schools NJ,https://specialeducationalliancenj.org/,https://www.facebook.com/specialeducationalliancenj,N/A,N/A
Alliance Resource Fair & Family Fun Day- Fall 2023,https://www.eventbrite.com/e/alliance-resource-fair-family-fun-day-fall-2023-tickets-675430991277?aff=ebdssbdestsearch,,N/A,"William Paterson University Student Center 300 Pompton Rd. Wayne, NJ 07470",Alliance of Private Special Education Schools NJ,https://specialeducationalliancenj.org/,https://www.facebook.com/specialeducationalliancenj,N/A,N/A
"Brooklyn High School Fair: CUNY, Urban Assembly, New Visions (New Location)",https://www.eventbrite.com/e/brooklyn-high-school-fair-cuny-urban-assembly-new-visions-new-location-tickets-717343031317?aff=ebdssbdestsearch,,Today • 5:00 PM,"K527 Urban Assembly Institute of Math and Science for Young Women 283 Adams Street Brooklyn, NY 11201",CUNY & Urban Assembly Schools,https://www.cunyuaschools.org/,N/A,https://www.twitter.com/CUNYUA_District,N/A
"Brooklyn High School Fair: CUNY, Urban Assembly, New Visions (New Location)",https://www.eventbrite.com/e/brooklyn-high-school-fair-cuny-urban-assembly-new-visions-new-location-tickets-717343031317?aff=ebdssbdestsearch,,N/A,"K527 Urban Assembly Institute of Math and Science for Young Women 283 Adams Street Brooklyn, NY 11201",CUNY & Urban Assembly Schools,https://www.cunyuaschools.org/,N/A,https://www.twitter.com/CUNYUA_District,N/A
Bronx Community Justice Center Carnival,https://www.eventbrite.com/e/bronx-community-justice-center-carnival-tickets-715014205737?aff=ebdssbdestsearch,,"Sat, Oct 21 •  12:00 PM ","East 152nd Street & Tinton Avenue 152-159 between Jackson and Tinton Ave The Bronx, NY 10455",N/A,N/A,N/A,N/A,N/A
Bronx Community Justice Center Carnival,https://www.eventbrite.com/e/bronx-community-justice-center-carnival-tickets-715014205737?aff=ebdssbdestsearch,,N/A,"East 152nd Street & Tinton Avenue 152-159 between Jackson and Tinton Ave The Bronx, NY 10455",N/A,N/A,N/A,N/A,N/A
Hudson County Family Fun Halloween Fest,https://www.eventbrite.com/e/hudson-county-family-fun-halloween-fest-tickets-727851943757?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:00 PM ","902 Brewing Co . 101 Pacific Avenue Jersey City, NJ 07304",Hudson County Office of Cultural & Heritage Affair,https://www.visithudson.org/,N/A,N/A,N/A
Hudson County Family Fun Halloween Fest,https://www.eventbrite.com/e/hudson-county-family-fun-halloween-fest-tickets-727851943757?aff=ebdssbdestsearch,,N/A,"902 Brewing Co . 101 Pacific Avenue Jersey City, NJ 07304",Hudson County Office of Cultural & Heritage Affair,https://www.visithudson.org/,N/A,N/A,N/A
Go Africa Carnival 2024 (7/20/2024),https://www.eventbrite.com/e/go-africa-carnival-2024-7202024-tickets-393798571127?aff=ebdssbdestsearch,,"Sat, Jul 20 •  10:00 AM ","216 W 116th St 216 West 116th Street Adam Clayton Powell Boulevard (7th Avenue)  and Frederick Douglass Boulevard (8th Avenue) New York, NY 10026",Go Africa Network Inc,http://goafricanetwork.org,https://www.facebook.com/goafricacarnival,https://www.twitter.com/goafricacarnival,N/A
Go Africa Carnival 2024 (7/20/2024),https://www.eventbrite.com/e/go-africa-carnival-2024-7202024-tickets-393798571127?aff=ebdssbdestsearch,,N/A,"216 W 116th St 216 West 116th Street Adam Clayton Powell Boulevard (7th Avenue)  and Frederick Douglass Boulevard (8th Avenue) New York, NY 10026",Go Africa Network Inc,http://goafricanetwork.org,https://www.facebook.com/goafricacarnival,https://www.twitter.com/goafricacarnival,N/A
NYC DOHMH - CUNY and SUNY Schools Diversity Career Consortium - 11-10-2023,https://www.eventbrite.com/e/nyc-dohmh-cuny-and-suny-schools-diversity-career-consortium-11-10-2023-tickets-698511896887?aff=ebdssbdestsearch,,"Fri, Nov 10 •  10:00 AM ","42-09 28th St 42-09 28th Street Queens, NY 11101",New York City Department of Health and Mental Hygiene,http://www1.nyc.gov/site/doh/index.page,N/A,N/A,N/A
NYC DOHMH - CUNY and SUNY Schools Diversity Career Consortium - 11-10-2023,https://www.eventbrite.com/e/nyc-dohmh-cuny-and-suny-schools-diversity-career-consortium-11-10-2023-tickets-698511896887?aff=ebdssbdestsearch,,N/A,"42-09 28th St 42-09 28th Street Queens, NY 11101",New York City Department of Health and Mental Hygiene,http://www1.nyc.gov/site/doh/index.page,N/A,N/A,N/A
Art Fair 14C  - Tour for the Visually Impaired,https://www.eventbrite.com/e/art-fair-14c-tour-for-the-visually-impaired-tickets-727062632907?aff=ebdssbdestsearch,,Saturday • 11:30 AM,"CRRNJ Terminal Building 1 Audrey Zapp Drive Jersey City, NJ 07305",Art Fair 14C,http://www.artfair14c.com,https://www.facebook.com/artfair14c,https://www.twitter.com/artfair14c,N/A
Art Fair 14C  - Tour for the Visually Impaired,https://www.eventbrite.com/e/art-fair-14c-tour-for-the-visually-impaired-tickets-727062632907?aff=ebdssbdestsearch,,N/A,"CRRNJ Terminal Building 1 Audrey Zapp Drive Jersey City, NJ 07305",Art Fair 14C,http://www.artfair14c.com,https://www.facebook.com/artfair14c,https://www.twitter.com/artfair14c,N/A
New York SBKZ Congress,https://www.eventbrite.com/e/new-york-sbkz-congress-tickets-627710808927?aff=ebdssbdestsearch,,"Fri, Feb 9 •  10:00 AM ","The Westin New York at Times Square 270 West 43rd Street New York, NY 10036",New York SBKZ Congress,https://www.nysbkzcongress.com,N/A,N/A,N/A
New York SBKZ Congress,https://www.eventbrite.com/e/new-york-sbkz-congress-tickets-627710808927?aff=ebdssbdestsearch,,N/A,"The Westin New York at Times Square 270 West 43rd Street New York, NY 10036",New York SBKZ Congress,https://www.nysbkzcongress.com,N/A,N/A,N/A
Turtle Back on Tap 2023,https://www.eventbrite.com/e/turtle-back-on-tap-2023-tickets-701939629327?aff=ebdssbdestsearch,,N/A,"Essex County Turtle Back Zoo 560 Northfield Avenue West Orange, NJ 07052",Essex County Park System,N/A,N/A,N/A,N/A
Turtle Back on Tap 2023,https://www.eventbrite.com/e/turtle-back-on-tap-2023-tickets-701939629327?aff=ebdssbdestsearch,,N/A,"Essex County Turtle Back Zoo 560 Northfield Avenue West Orange, NJ 07052",Essex County Park System,N/A,N/A,N/A,N/A
Latino Arts Fest 2023: Visions of Empowerment,https://www.eventbrite.com/e/latino-arts-fest-2023-visions-of-empowerment-tickets-719023367247?aff=ebdssbdestsearch,,Tomorrow • 5:00 PM,"El Barrio's Artspace PS109 215 East 99th Street New York, NY 10029",Turner Construction's Cada Comunidad ERG,N/A,N/A,N/A,N/A
Latino Arts Fest 2023: Visions of Empowerment,https://www.eventbrite.com/e/latino-arts-fest-2023-visions-of-empowerment-tickets-719023367247?aff=ebdssbdestsearch,,N/A,"El Barrio's Artspace PS109 215 East 99th Street New York, NY 10029",Turner Construction's Cada Comunidad ERG,N/A,N/A,N/A,N/A
Leap Fest NYC 2.0 - East Coast's most EXCLUSIVE INDIAN SINGLES event.,https://www.eventbrite.com/e/leap-fest-nyc-20-east-coasts-most-exclusive-indian-singles-event-tickets-728652799137?aff=ebdssbdestsearch,,"Sun, Oct 29 •  12:00 PM ","Elsie Rooftop 1412 Broadway New York, NY 10018",Leap Social - the app.,https://www.leapsocial.com,N/A,N/A,N/A
Leap Fest NYC 2.0 - East Coast's most EXCLUSIVE INDIAN SINGLES event.,https://www.eventbrite.com/e/leap-fest-nyc-20-east-coasts-most-exclusive-indian-singles-event-tickets-728652799137?aff=ebdssbdestsearch,,N/A,"Elsie Rooftop 1412 Broadway New York, NY 10018",Leap Social - the app.,https://www.leapsocial.com,N/A,N/A,N/A
Diamond Jam. SoHo Art Exhibition,https://www.eventbrite.com/e/diamond-jam-soho-art-exhibition-tickets-712553535807?aff=ebdssbdestsearch,,"Fri, Nov 3 •  6:00 PM ","425 W Broadway 425 West Broadway New York, NY 10012",The 1st Ukrainian Gallery NY,https://www.thefirstukrainiangallery.com/,N/A,N/A,N/A
Diamond Jam. SoHo Art Exhibition,https://www.eventbrite.com/e/diamond-jam-soho-art-exhibition-tickets-712553535807?aff=ebdssbdestsearch,,N/A,"425 W Broadway 425 West Broadway New York, NY 10012",The 1st Ukrainian Gallery NY,https://www.thefirstukrainiangallery.com/,N/A,N/A,N/A
"The Other Art Fair Brooklyn: November 9 - 12, 2023",https://www.eventbrite.com/e/the-other-art-fair-brooklyn-november-9-12-2023-tickets-696787619527?aff=ebdssbdestsearch,,"Thu, Nov 9 •  6:00 PM ","ZeroSpace 337-345 Butler Street Brooklyn, NY 11217",The Other Art Fair presented by Saatchi Art,N/A,https://www.facebook.com/theotherartfair,https://www.twitter.com/theotherartfair,N/A
