Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Roam Fest Sedona | A Women + Femme MTB Festival,https://www.eventbrite.com/e/roam-fest-sedona-a-women-femme-mtb-festival-tickets-558790245667?aff=ebdssbdestsearch,,"Fri, Nov 3 •  8:00 AM ","Red Agave Resort 120 Canyon Cir Dr Sedona, AZ 86351",ROAM EVENTS,N/A,https://www.facebook.com/thisisroam,N/A,N/A
Roam Fest Sedona | A Women + Femme MTB Festival,https://www.eventbrite.com/e/roam-fest-sedona-a-women-femme-mtb-festival-tickets-558790245667?aff=ebdssbdestsearch,,N/A,"Red Agave Resort 120 Canyon Cir Dr Sedona, AZ 86351",ROAM EVENTS,N/A,https://www.facebook.com/thisisroam,N/A,N/A
"Red Rocks Oktoberfest - Craft beer tasting, food trucks, live music and fun",https://www.eventbrite.com/e/red-rocks-oktoberfest-craft-beer-tasting-food-trucks-live-music-and-fun-tickets-682746742887?aff=ebdssbdestsearch,,Saturday • 3:00 PM,"Posse Grounds Park 525 Posse Ground Road Sedona, AZ 86336",Rotary Club of Sedona Red Rocks,http://redrocksoktoberfest.com,https://www.facebook.com/sedonaredrockoktoberfest,N/A,N/A
"Red Rocks Oktoberfest - Craft beer tasting, food trucks, live music and fun",https://www.eventbrite.com/e/red-rocks-oktoberfest-craft-beer-tasting-food-trucks-live-music-and-fun-tickets-682746742887?aff=ebdssbdestsearch,,N/A,"Posse Grounds Park 525 Posse Ground Road Sedona, AZ 86336",Rotary Club of Sedona Red Rocks,http://redrocksoktoberfest.com,https://www.facebook.com/sedonaredrockoktoberfest,N/A,N/A
