State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Utah,Washington,Saint George,Family Healthcare Health Fair,https://www.eventbrite.com/e/family-healthcare-health-fair-tickets-721276727107?aff=ebdssbdestsearch,,"Sat, Nov 4 •  12:00 PM ","2276 East Riverside Drive, St. George, UT, USA 2276 East Riverside Drive St. George, UT 84790",Family Healthcare,,,,
Utah,Washington,Saint George,Utah Tech Booth Wellness Center presents: Wellness + Resource Fair,https://www.eventbrite.com/e/utah-tech-booth-wellness-center-presents-wellness-resource-fair-tickets-711549974127?aff=ebdssbdestsearch,,"Wed, Oct 18 •  10:00 AM ","Utah Tech University 225 South 700 East St. George, UT 84770",Utah Tech University Booth Wellness Center,,,,
Utah,Washington,Saint George,Fall Festival at The Sky Deck,https://www.eventbrite.com/e/fall-festival-at-the-sky-deck-tickets-732522212657?aff=ebdssbdestsearch,,Friday • 4:00 PM,"5481 Alice Blue Pl 5481 Alice Blue Place St. George, UT 84790",Cole West Home,,,,
Utah,Washington,Saint George,Dickens Christmas Festival,https://www.eventbrite.com/e/dickens-christmas-festival-tickets-736171487737?aff=ebdssbdestsearch,,"Wed, Nov 29 •  10:00 AM ","Dixie Convention Center 1835 South Convention Center Drive Saint George, UT 84790",Olde World Historical Council,,https://www.facebook.com/dickenschristmasfestival,,
Utah,Washington,Saint George,St. George Regional Hospital - Jubilee of Trees 2023,https://www.eventbrite.com/e/st-george-regional-hospital-jubilee-of-trees-2023-tickets-728354125797?aff=ebdssbdestsearch,,"Sun, Nov 19 •  10:00 AM ","Dixie Convention Center 1835 South Convention Center Drive St. George, UT 84790",Intermountain Foundation,,https://www.facebook.com/Intermountain,https://www.twitter.com/Intermountain,
