State,County,City,Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
New York,New York,New York,Cardtopia 2023 NYC,https://www.eventbrite.com/e/cardtopia-2023-nyc-tickets-643198623397?aff=ebdssbdestsearch,,,"Moonlight Studios NYC 330 Hudson Street New York, NY 10013",Cardtopia World,https://www.cardtopiaworld.com/,https://www.facebook.com/Cardtopiaworld,https://www.twitter.com/cardtopiaworld,
New Jersey,Essex,Montclair,Perú Fusion | Grand Tasting 2023,https://www.eventbrite.com/e/peru-fusion-grand-tasting-2023-tickets-709513663467?aff=ebdssbdestsearch,,"Sun, Oct 22 •  1:00 PM ","18 Label Studios 18 Label Street Montclair, NJ 07042",Perú Fusion,,https://www.facebook.com/PeruFusionOfficial,,
New York,Kings,Brooklyn,DAYBREAKER NYC // 10-YEAR TOGETHER TOUR OCT 28TH,https://www.eventbrite.com/e/daybreaker-nyc-10-year-together-tour-oct-28th-tickets-705535996157?aff=ebdssbdestsearch,,"Sat, Oct 28 •  5:00 PM ","Green-Wood Cemetery 500 25th St Brooklyn New York, NY 11232",DAYBREAKER,,,,
New York,Queens,Long Island City,Freestyle Mondays NYC 22nd Anniversary,https://www.eventbrite.com/e/freestyle-mondays-nyc-22nd-anniversary-tickets-726203764007?aff=ebdssbdestsearch,,"Sun, Oct 22 •  2:00 PM ","Culture Lab LIC, 46th Avenue, Queens, NY, USA 5-25 46th Avenue Queens, NY 11101",Corey James Gray,,https://www.facebook.com/Freestylemondays,https://www.twitter.com/fstylemondaysny,
New York,Richmond,Staten Island,Project Caribbean Festival 2023,https://www.eventbrite.com/e/project-caribbean-festival-2023-registration-661654645857?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:00 PM ","Snug Harbor Cultural Center & Botanical Garden -- SOUTH MEADOW 1000 Richmond Terrace Staten Island, NY 10301",Project Caribbean Inc.,https://projectcaribbeaninc.org,,,
New Jersey,Hudson,Jersey City,JCAST 2023 - LGBTQ+ Art Bus Tour,https://www.eventbrite.com/e/jcast-2023-lgbtq-art-bus-tour-tickets-733999240487?aff=ebdssbdestsearch,,Saturday • 1:00 PM,"Jersey City City Hall 280 Grove Street Jersey City, NJ 07302",Art Fair 14C,http://www.artfair14c.com,https://www.facebook.com/artfair14c,https://www.twitter.com/artfair14c,
New York,New York,New York,New York's 50th Annual Village Halloween Parade,https://www.eventbrite.com/e/new-yorks-50th-annual-village-halloween-parade-tickets-495950279637?aff=ebdssbdestsearch,,"Tue, Oct 31 •  7:00 PM ","6th Avenue between Canal Street and 16th Street 6th Avenue between Canal and 16th St. New York City, NY 10014",New York City Halloween Parade,,https://www.facebook.com/events/612737329475686,https://www.twitter.com/NYCHalloween,
New Jersey,Passaic,Wayne,Alliance Resource Fair & Family Fun Day- Fall 2023,https://www.eventbrite.com/e/alliance-resource-fair-family-fun-day-fall-2023-tickets-675430991277?aff=ebdssbdestsearch,,Sunday • 11:00 AM,"William Paterson University Student Center 300 Pompton Rd. Wayne, NJ 07470",Alliance of Private Special Education Schools NJ,https://specialeducationalliancenj.org/,https://www.facebook.com/specialeducationalliancenj,,
New York,Kings,Brooklyn,"Brooklyn High School Fair: CUNY, Urban Assembly, New Visions (New Location)",https://www.eventbrite.com/e/brooklyn-high-school-fair-cuny-urban-assembly-new-visions-new-location-tickets-717343031317?aff=ebdssbdestsearch,,Today • 5:00 PM,"K527 Urban Assembly Institute of Math and Science for Young Women 283 Adams Street Brooklyn, NY 11201",CUNY & Urban Assembly Schools,https://www.cunyuaschools.org/,,https://www.twitter.com/CUNYUA_District,
New York,Bronx,Bronx,Bronx Community Justice Center Carnival,https://www.eventbrite.com/e/bronx-community-justice-center-carnival-tickets-715014205737?aff=ebdssbdestsearch,,"Sat, Oct 21 •  12:00 PM ","East 152nd Street & Tinton Avenue 152-159 between Jackson and Tinton Ave The Bronx, NY 10455",,,,,
New Jersey,Hudson,Jersey City,Hudson County Family Fun Halloween Fest,https://www.eventbrite.com/e/hudson-county-family-fun-halloween-fest-tickets-727851943757?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:00 PM ","902 Brewing Co . 101 Pacific Avenue Jersey City, NJ 07304",Hudson County Office of Cultural & Heritage Affair,https://www.visithudson.org/,,,
New York,New York,New York,Go Africa Carnival 2024 (7/20/2024),https://www.eventbrite.com/e/go-africa-carnival-2024-7202024-tickets-393798571127?aff=ebdssbdestsearch,,"Sat, Jul 20 •  10:00 AM ","216 W 116th St 216 West 116th Street Adam Clayton Powell Boulevard (7th Avenue)  and Frederick Douglass Boulevard (8th Avenue) New York, NY 10026",Go Africa Network Inc,http://goafricanetwork.org,https://www.facebook.com/goafricacarnival,https://www.twitter.com/goafricacarnival,
New York,Queens,Long Island City,NYC DOHMH - CUNY and SUNY Schools Diversity Career Consortium - 11-10-2023,https://www.eventbrite.com/e/nyc-dohmh-cuny-and-suny-schools-diversity-career-consortium-11-10-2023-tickets-698511896887?aff=ebdssbdestsearch,,"Fri, Nov 10 •  10:00 AM ","42-09 28th St 42-09 28th Street Queens, NY 11101",New York City Department of Health and Mental Hygiene,http://www1.nyc.gov/site/doh/index.page,,,
New Jersey,Hudson,Jersey City,Art Fair 14C  - Tour for the Visually Impaired,https://www.eventbrite.com/e/art-fair-14c-tour-for-the-visually-impaired-tickets-727062632907?aff=ebdssbdestsearch,,Saturday • 11:30 AM,"CRRNJ Terminal Building 1 Audrey Zapp Drive Jersey City, NJ 07305",Art Fair 14C,http://www.artfair14c.com,https://www.facebook.com/artfair14c,https://www.twitter.com/artfair14c,
New York,New York,New York,New York SBKZ Congress,https://www.eventbrite.com/e/new-york-sbkz-congress-tickets-627710808927?aff=ebdssbdestsearch,,"Fri, Feb 9 •  10:00 AM ","The Westin New York at Times Square 270 West 43rd Street New York, NY 10036",New York SBKZ Congress,https://www.nysbkzcongress.com,,,
New Jersey,Essex,West Orange,Turtle Back on Tap 2023,https://www.eventbrite.com/e/turtle-back-on-tap-2023-tickets-701939629327?aff=ebdssbdestsearch,,,"Essex County Turtle Back Zoo 560 Northfield Avenue West Orange, NJ 07052",Essex County Park System,,,,
New York,New York,New York,Latino Arts Fest 2023: Visions of Empowerment,https://www.eventbrite.com/e/latino-arts-fest-2023-visions-of-empowerment-tickets-719023367247?aff=ebdssbdestsearch,,Tomorrow • 5:00 PM,"El Barrio's Artspace PS109 215 East 99th Street New York, NY 10029",Turner Construction's Cada Comunidad ERG,,,,
New York,New York,New York,Leap Fest NYC 2.0 - East Coast's most EXCLUSIVE INDIAN SINGLES event.,https://www.eventbrite.com/e/leap-fest-nyc-20-east-coasts-most-exclusive-indian-singles-event-tickets-728652799137?aff=ebdssbdestsearch,,"Sun, Oct 29 •  12:00 PM ","Elsie Rooftop 1412 Broadway New York, NY 10018",Leap Social - the app.,https://www.leapsocial.com,,,
New York,New York,New York,Diamond Jam. SoHo Art Exhibition,https://www.eventbrite.com/e/diamond-jam-soho-art-exhibition-tickets-712553535807?aff=ebdssbdestsearch,,"Fri, Nov 3 •  6:00 PM ","425 W Broadway 425 West Broadway New York, NY 10012",The 1st Ukrainian Gallery NY,https://www.thefirstukrainiangallery.com/,,,
